DATE,DPCERD3Q086SBEA
2000-01-01,77.618
2000-04-01,77.967
2000-07-01,78.45
2000-10-01,78.885
2001-01-01,79.421
2001-04-01,79.794
2001-07-01,79.842
2001-10-01,79.891
2002-01-01,80.038
2002-04-01,80.648
2002-07-01,81.041
2002-10-01,81.416
2003-01-01,81.99
2003-04-01,82.011
2003-07-01,82.517
2003-10-01,82.895
2004-01-01,83.583
2004-04-01,84.155
2004-07-01,84.579
2004-10-01,85.301
2005-01-01,85.787
2005-04-01,86.302
2005-07-01,87.225
2005-10-01,87.907
2006-01-01,88.354
2006-04-01,89.065
2006-07-01,89.708
2006-10-01,89.557
2007-01-01,90.402
2007-04-01,91.136
2007-07-01,91.65
2007-10-01,92.551
2008-01-01,93.328
2008-04-01,94.289
2008-07-01,95.266
2008-10-01,93.837
2009-01-01,93.273
2009-04-01,93.692
2009-07-01,94.339
2009-10-01,95.068
2010-01-01,95.393
2010-04-01,95.5
2010-07-01,95.669
2010-10-01,96.248
2011-01-01,97.089
2011-04-01,98.046
2011-07-01,98.521
2011-10-01,98.858
2012-01-01,99.537
2012-04-01,99.775
2012-07-01,100.061
2012-10-01,100.623
2013-01-01,100.981
2013-04-01,101.056
2013-07-01,101.464
2013-10-01,101.877
2014-01-01,102.358
2014-04-01,102.864
2014-07-01,103.172
2014-10-01,103.066
2015-01-01,102.606
2015-04-01,103.106
2015-07-01,103.415
2015-10-01,103.368
2016-01-01,103.424
2016-04-01,104.031
2016-07-01,104.481
2016-10-01,104.984
2017-01-01,105.524
2017-04-01,105.731
2017-07-01,106.152
2017-10-01,106.869
2018-01-01,107.52
2018-04-01,108.049
2018-07-01,108.47
